優先度,会社名,種別,所在地,連絡方法,連絡先・応募URL,サイト,募集内容・特徴,狙い方,接触状況
S,株式会社シード,広告代理店（Yahoo!広告 正規代理店）＋制作,東京都千代田区,フォーム,https://www.seedinc.jp/create/partner.html,https://www.seedinc.jp/,LP制作・WordPress制作・ECのコンペ案件の見積と提案を随時募集。個人・法人問わず,広告運用が本業で制作を外に出している。しゅんの過去の取引像にいちばん近い。LPとWPの実績を添えて応募,未
S,ゴッタライド,工務店・リフォーム会社特化のHP制作,岐阜県岐阜市,フォーム,https://www.gotta-ride.com/partner,https://www.gotta-ride.com/,フリーランス・法人問わず。全国OK（沖縄から北海道まで稼働中）。コミュニケーション重視,工務店サイトの知見（西辻工務店様の実績・工務店の記事）を前面に出す,未
S,合同会社ギャラクタス,Web制作,大阪市阿倍野区,メール・フォーム,info@galactus.co.jp ／ https://galactus.co.jp/partner/,https://galactus.co.jp/,社外のフリーランス・企業と制作パートナーとして協力。LP・WP・コーディング・デザイン,メールで直接応募できる。実績URLを3つ添える,下書き作成 2026-09-19（未送信）
S,株式会社シスコム,"Web制作（3,000サイト以上）",東京都中央区銀座,メール・フォーム,contact@syscom-web.com ／ https://www.gohp.jp/overview/partner/,https://www.gohp.jp/,個人・企業問わず。ディレクター・デザイナー・コーダー・マーケターを募集,案件数が多い会社。デザインからWP実装まで一人で完結できる点を伝える,下書き作成 2026-09-19（未送信）
S,株式会社フロンティア,映像・Web・デザイン・看板の総合制作,東京都中央区新川,フォーム,https://frontier-ad.co.jp/partner/,https://frontier-ad.co.jp/,コーポレート・採用サイト・LPのデザイン/コーディング。WordPress・Shopify経験者歓迎,Webが本業でない総合制作会社。Web部分を丸ごと任せてもらう提案,未
S,株式会社ライトアップ,Web制作・コンテンツ制作,東京都渋谷区,フォーム,https://www.biz4.jp/partner,https://www.biz4.jp/,業種・所在地を問わず、法人/個人/フリーランスを常時募集。プロジェクト単位可,応募しても案件に至らない場合ありと明記。登録しておく位置づけ,未
S,セブンデザイン,Web制作,大阪市都島区,フォーム,https://www.sevendesign.biz/partner/,https://www.sevendesign.biz/,デザイン・コーディング・WordPress実装まで一貫対応できる方が対象。料金の目安と実績3サイトを記入,条件がしゅんの体制と一致。「料金の目安」を書く欄があるので卸価格を決めてから応募,未
S,合同会社Robse,デザイン・Web（福祉×地域）,島根県出雲市,フォーム,https://robse.jp/contact_buisiness/freelance,https://robse.jp/,Webデザイン・コーディング・WordPress構築・動画編集。リモート対応・案件ごとに調整可,小さな会社で距離が近い。継続の関係を作りやすい,未
S,株式会社マグネット,HP制作＋Web広告代理店,大阪市福島区,フォーム,https://www.mag-net.co.jp/partner/,https://www.mag-net.co.jp/,WEBデザイナー・システム開発者を募集。個人事業（SOHO）・法人,広告と制作を両方持つ会社。LPの量産を受ける提案,未
S,株式会社コモテック,Web制作,愛媛県松山市,フォーム,https://www.comotec.ne.jp/partner/,https://www.comotec.ne.jp/,デザイナー・コーダー・プログラマーなど。個人・法人問わず全国から募集,地方の制作会社。リモート前提で応募,未
