事業者名,業種,エリア,サイト基盤,URL,備考
くらうちピアノ教室,ピアノ教室,大阪府寝屋川市,アメブロ,https://ameblo.jp/keikopiano907/,4歳〜大人まで生徒募集中
ひまわり教室（ケンひま音楽教室）,幼児教室・音楽,大阪府吹田市,アメブロ,https://ameblo.jp/himawarieriko1711/,0〜3歳の親子教室
田代音楽教室,ピアノ教室,大阪市平野区・藤井寺市,アメブロ,https://ameblo.jp/enjoypiano2011/,オンラインレッスンも実施
めばえピアノ教室,ピアノ・リトミック,大阪市城東区,独自ドメイン,https://mini-mebae-piano.org/,0〜2歳リトミックから
カリーナ音楽教室,ピアノ・リトミック,大阪市都島区・旭区,独自ドメイン,https://www.carinamusica.com/,0歳〜80代まで在籍
ふじさき書道教室,書道教室,大阪府堺市中区土塔町,ペライチ,https://peraichi.com/landing_pages/view/sf7770/,
アイリススクール,ダブルダッチ教室,大阪市,ペライチ,https://peraichi.com/landing_pages/view/irisschool/,元町駅徒歩1分
大阪ゴールキーパーアカデミー,サッカー教室,大阪市,ペライチ,https://osakagkacademy.hp.peraichi.com/,無料体験あり
スマホパソコン教室SHARE,パソコン教室,大阪市,ペライチ,https://shareschool.hp.peraichi.com/,
WOLF（パーソナルトレーナー養成）,スクール,大阪市,ペライチ,https://peraichi.com/landing_pages/view/wolf-school/,資格取得スクール・単価高め
ほほえみサロン,整体・温熱サロン,大阪府堺市,Jimdo無料,https://hohoemisalon.jimdofree.com/,
大阪メイクレッスン＆パーソナルカラー診断,メイクレッスン,大阪市,Jimdo無料,https://osaka-makelesson.jimdofree.com/,
S*STYLE TEA,紅茶・ハーブティー教室,大阪市,Wix無料,https://sumiko97.wixsite.com/home,英国式ティーサロン
Salon de Couleur,アイシングクッキー教室,大阪市,Wix無料,https://salondecouleurkei.wixsite.com/mysite-4,
リラクゼーションサロン ルポアレーズ,整体・アロマ,大阪市,Wix無料,https://reposwebsite.wixsite.com/my-site,
工房 北川,木彫教室,大阪市,Wix無料,https://kouboukitagawa.wixsite.com/butuzoutyoukoku/class,仏像彫刻
Mfleurnail,ネイルサロン,大阪市,Wix無料,https://lopasoustedbien.wixsite.com/mfleurnail,
