優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,Instagram,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,イルクパークダンススタジオ,記載なし,K-POPダンススクール,東京都新宿区,Wix無料,ilkpark_entertainment@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://ilkpark02.wixsite.com/ilkparkdancestudio,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,Cheerful Style,記載なし,キッズチアダンス,東京・神奈川,Wix無料,fairytailcheer@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://cheerfulstyle.wixsite.com/kids,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,C.C.E ココナッツエナジー,記載なし,ダンススタジオ,福岡市西区,Wix無料,c.c.e.dance.info@gmail.com（サイトに記載・自動抽出で確認）,https://swaaag21211.wixsite.com/coconutenergy,https://www.instagram.com/c.c.e_coconutenergy/,Instagramを運用中（@c.c.e_coconutenergy）・料金の記載なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・Wix無料のサイト（広告表示・自作）
S,ミサドラム教室,記載なし,ドラム教室,神戸市中央区,Jimdo無料,misadrum@gmail.com（サイトに記載・自動抽出で確認）,https://misadrum.jimdofree.com/,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,cuore music 石原音楽教室,記載なし,ピアノ・リトミック,千葉県柏市,Jimdo無料,michisekine1970@gmail.com（サイトに記載・自動抽出で確認）,https://michiko-cuoremusic.jimdofree.com/,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
S,Tsukamotoピアノ教室,記載なし,ピアノ教室,札幌市,Wix無料,t-pianoroom@ymobile.ne.jp（サイトに記載・自動抽出で確認）,https://tpianoroom1091.wixsite.com/tsukamoto,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,Instagramは動いているがホームページが弱い・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,豊田体操教室Doii,記載なし,体操・ダンス教室,所在地は要確認,ペライチ,doigymnastics@gmail.com（サイトに記載・自動抽出で確認）,https://toyotashitaisoudancedoii.hp.peraichi.com/,https://www.instagram.com/beats_tumbling/,Instagramを運用中（@beats_tumbling）・料金の記載なし・ペライチのサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・ペライチのサイト（広告表示・自作）
S,アルク ACORN Kids,記載なし,子ども英語教室,福岡県大野城市,Jimdo無料,kc.acornkids@gmail.com（サイトに記載・自動抽出で確認）,https://acornkids.jimdofree.com/,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Yuma English House様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,TOSHIの英語教室,記載なし,英語教室,名古屋市北区,Wix無料,toshinoeigo@gmail.com（サイトに記載・自動抽出で確認）,https://toshinoeigo.wixsite.com/main,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Yuma English House様,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,RABO∅TEEs ラボティーズ,記載なし,プログラミング教室,群馬県高崎市,Wix無料,rabotees123@gmail.com（サイトに記載・自動抽出で確認）,https://rabotees123.wixsite.com/rabotees,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,未,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
