優先度,事業者名,代表者名,士業の種類,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,指摘の種,接触状況,提案,選定理由
S,たかはし行政書士事務所,髙橋幸男,行政書士,深谷市,不明,takahashi_gyousei@icloud.com,https://akitsu-office.com/,2026年2月に無料プレビューのヒアリングシートに回答済み（既知のリード）,要確認,送信済み 2026-09-15,shigyo-re,既知のリード。再接触の文面は個別に調整（『その節はありがとうございました』の一言を冒頭に）
S,川合司法書士事務所,川合賢,司法書士,本庄市,Wix,kawai719715@gmail.com / 0495-71-9715,https://www.kawai-office.net/,Wixテンプレートのまま更新日付やお知らせが無く、代表1人で司法書士・土地家屋調査士・行政書士を兼ねる小規模事務所。,連絡先がGmailのフリーメールで、問い合わせフォームが無い。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,行政書士かわせ法務事務所,川瀬邦俊,行政書士,本庄市,独自（Googleサイト）,kawase-office@catnet.jp / 0495-22-8817,https://sites.google.com/view/g-kawase,旧URL（catnet.jp）が404で、無料のGoogleサイトに移転済み。独自ドメインが無く上里・美里・寄居まで対応エリアに明記。,URLがsites.google.comのままで独自ドメインが無い。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,千葉行政書士事務所,千葉慶一,行政書士,本庄市（児玉町）,独自,info@office-chiba.com / フォーム / 0495-72-3042,https://office-chiba.com/,幅880px固定・viewport未設定の手組みHTMLで、トピックスの最終更新が2023年12月で止まっている。,スマホ非対応（viewport未設定・固定幅880px）。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,行政書士小山法務事務所,小山信浩,行政書士,本庄市,Wix,電話 0495-71-7033（メール・フォームは確認できず）,https://www.koyama-office.org/,Wixで©2021のまま更新日付が無く、お知らせ欄も無い。代表1人体制。,問い合わせ導線が電話のみで、メールアドレス・フォームが見当たらない。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,武正めぐみ社会保険労務士事務所,武正めぐみ,社会保険労務士,本庄市,独自（Crayon無料HP作成）,フォーム / 090-7177-9968,https://sr-take.crayonsite.info/,無料HP作成サービスのサブドメイン（crayonsite.info）で独自ドメインが無く、トップページ約10KBの最小構成。,独自ドメインが無く、電話番号が携帯のみ。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,井草社会保険労務士事務所,不明,社会保険労務士,本庄市,Wix,takaakiigusa@nifty.com / 0495-21-1882,https://www.igusa-sr-office.com/,Wixテンプレートで代表者名・更新日の記載が無く、メールはniftyのプロバイダアドレス。駐車場3台の小規模事務所。,代表者名・プロフィールがサイト上に載っていない。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,税理士法人曽根会計事務所,曽根和也,税理士,熊谷市,独自,電話のみ 048-523-9814（メール・フォームなし）,http://www.sonetax.com/,Copyright表記が2003〜2023で止まり、https接続は自己署名証明書でブラウザ警告が出る。税理士2名＋スタッフ4名の小規模。,HTTPS接続で証明書エラーが出る（自己署名証明書）。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,森恒美社会保険労務士事務所,森恒美,社会保険労務士,深谷市,独自（ホームページ・ビルダー）,happyandhappy@tbc.t-com.ne.jp / フォーム / 048-574-9812,http://www.sr-mori.com/,ホームページ・ビルダー製でviewport未設定、httpのみでSSL無し。対応エリアに伊勢崎・太田まで明記。,常時SSL未対応（httpのまま）でスマホ非対応。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,新井税理士事務所,新井政雄,税理士,深谷市,Wix,info@ara-zei.com / フォーム,https://www.ara-zei.com/,Wixテンプレートでお知らせに日付が無く、トップページに電話番号が載っていない。,トップページに電話番号の記載が無い。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
