優先度,事業者名,代表者,業種,エリア,サイト基盤,メールアドレス,URL,受注率が高そうな理由,出せる同業実績,接触状況
S,Homey Dance Studio,記載なし,ダンススタジオ,所沢市,Wix無料,homeydancestudio7@gmail.com,https://jun106107.wixsite.com/website,ダンス系×無料サイト×メール公開＝スクービードゥと同条件,DANCE STUDIO PLUS様・Colours Musical Studio様,送信済み 2026-09-04
S,Wing Flap,記載なし（IG: wingflap_2007）,キッズチアダンス,草加市,Wix無料,wingflap07@gmail.com,https://wingflap.wixsite.com/wingflap,キッズチア＝保護者向け導線が効く業種×無料サイト,DANCE STUDIO PLUS様・Colours Musical Studio様,送信済み 2026-09-04
S,マヤバレエスタジオ,原島マヤ,バレエ教室,北本市,Wix無料,mybstudio.life@gmail.com,https://cullife.wixsite.com/mayaballet,バレエ実績が直撃×北本=埼玉北部の看板圏内,Tulip Ballet Studio様,送信済み 2026-09-04
S,アルク Kiddy CAT 西堀フレンズ,関根ひろみ（代表）,子ども英語教室,さいたま市桜区,Jimdo無料,kiddycatnishibori@gmail.com,https://kiddycatnishibori.jimdofree.com/,子ども英語＝Yuma実績（入会0→14）の数字が直撃,Yuma English House様,送信済み 2026-09-04
A,B.H.art-ballet,吉永弘子（主宰）,バレエ教室,川越市,Wix無料,b.h.artballet@gmail.com,https://bhartballet.wixsite.com/bhartballet,バレエ実績が直撃×無料サイト,Tulip Ballet Studio様,送信済み 2026-09-04
A,シラキミュージックスクール,白木（代表）,ギター・ボーカル教室,蕨市,Wix無料,shiraki.m.s@gmail.com,https://shirakims.wixsite.com/warabi,音楽教室実績あり×無料サイト,Colours Musical Studio様,送信済み 2026-09-04
A,FITNESS STUDIO i,岩井優太（代表）,ジュニアフィジカル,吉川市,ペライチ,fitnesssaloni2022@gmail.com,https://yoshikawasaitama.hp.peraichi.com/,前回選定済みの未送信分,パーソナルジムMe様,送信済み 2026-09-04
A,のざお書道教室,記載なし,書道教室,浦和・武蔵浦和・大宮,独自ドメイン,nozaocalligraphyschool@gmail.com,https://nozaocalligraphyschool.com/,前回選定済みの未送信分,―,送信済み 2026-09-04
A,SHUTTLE KIDS,記載なし,バドミントンチーム,久喜市・春日部市ほか,ペライチ,shuttlekids.saitama@gmail.com,https://shuttlekids.hp.peraichi.com/saitama/,前回選定済みの未送信分,―,送信済み 2026-09-04
B,水谷音楽教室,水谷悦子,ピアノ教室,さいたま市大宮区,Jimdo無料,etsukomzmo@yahoo.co.jp,https://mzmusicmihashi.jimdofree.com/,個人ピアノ教室は予算小さめの傾向,Colours Musical Studio様,送信済み 2026-09-04
第二弾（連絡先要確認）,KENTOPダンス教室,要確認,ダンス教室（多ジャンル）,熊谷市,ペライチ,要確認（ペライチbot対策で自動確認不可）,https://kentop-dance.hp.peraichi.com/,熊谷=看板圏内×多ジャンル×ペライチ,DANCE STUDIO PLUS様ほか,未
第二弾（連絡先要確認）,クラス数埼玉No.1ヒップホップスタジオ,要確認,ヒップホップ,鴻巣・熊谷・東松山,ペライチ,要確認,https://uyxiq.hp.peraichi.com/,埼玉北部ど真ん中×複数拠点=予算あり,DANCE STUDIO PLUS様ほか,未
第二弾（連絡先要確認）,FANTASY TRIBE,要確認,キッズダンス,ふじみ野市,ペライチ,要確認,https://fantasy-tribe.hp.peraichi.com/,キッズダンス×ペライチ,DANCE STUDIO PLUS様ほか,未
第二弾（連絡先要確認）,BBOY SNACK,要確認,ブレイクダンス・アクロバット,所沢市・新座市,Jimdo無料,要確認,https://bboysnack.jimdofree.com/,ブレイク・アクロバット=スクービードゥと同ジャンル,DANCE STUDIO PLUS様ほか,未
見送り,桶川ダンススタジオLOHAS,要確認,ダンス教室（多ジャンル）,桶川市,Jimdo無料,なし（電話のみ・フォームなし）,https://lohas048.jimdofree.com/,内容は理想的だがテキストで接触する手段がない,―,未
