優先度,事業者名,業種,エリア,サイトの状態,連絡手段,メールアドレス,URL,刺さる一言,接触状況
S,MA堀江ピアノ教室,ピアノ教室,大阪市西区南堀江,ペライチ1ページ・独自ドメインなし,問い合わせフォーム/電話/Instagram,,https://lj4w4.hp.peraichi.com/,講師6名・グランドピアノ2台の規模でサイトはペライチ1枚。2026年度クラス募集中で今が集客期,未
S,音楽教室リトぴよ（株式会社リトぴよ）,リトミック・ピアノ・ドラム,大阪市西区（阿波座・西長堀）,ペライチ＋アメブロ・独自ドメインなし,公式LINE/予約フォーム/電話,,https://rythpiyo.hp.peraichi.com/,法人化して3教室展開＝予算あり。0歳からのリトミックはRythmique Gardenとほぼ同業,未
A,マミーピアノ教室,ピアノ教室,大阪市平野区加美西,Jimdo＋アメブロ,LINE/フォーム/Instagram/YouTube/Facebook,,https://ameblo.jp/02mamirinpiano16/,SNSを5媒体運用するほど発信意欲が高いのにサイトはJimdo,未
A,整体院 癒心庵,整体院,和歌山県伊都郡九度山町,Wix無料サブドメイン,メール/電話/FAX/LINE/Facebook,md.au0059@gmail.com,https://mdau0059.wixsite.com/b-axis,数少ないメール送信可。Wix無料のまま運用,未
A,お茶会三線教室 おきなわうた,三線教室,大阪市阿倍野区,Wix無料サブドメイン,Instagram/アメブロ/フォーム,,https://okinawauta.wixsite.com/okinawauta,古民家「昭和サロン」での教室＝写真映えする独自性を今のサイトが伝えきれていない,未
A,運動本舗シンバ,体操教室,大阪市都島区友渕町,Wix無料サブドメイン,電話/Instagram,,https://yundongbenpu.wixsite.com/my-site,少人数制の体操教室。Personal Gym Meの実績が近い,未
A,香里整骨院,整骨院,大阪府枚方市香里園町,Jimdo無料サブドメイン,電話/Facebook,,https://kouri-seikotsu.jimdofree.com/,駅徒歩6分の立地で整骨院はMEOが効く業種。ただし連絡手段が電話とFacebookのみ,未
B,株式会社マルエイ工務店,リフォーム・工務店,大阪府門真市島頭,2022年リニューアル・スマホ対応済,メール/電話/FAX,info@marueireform.com,https://marueireform.com/,大工直営リフォーム専門店。サイトは新しめだがメールが届く。西辻工務店の実績が使える,未
B,株式会社奥野工務店,内装リフォーム・工務店,大阪府八尾市竹渕西,2021年頃のテンプレート,メール/電話/フォーム/LINE,info@okunokoumuten.com,https://www.okunokoumuten.com/,テンプレート感のあるサイト。内装リフォーム中心,未
B,株式会社藤井工務店,工務店,大阪市城東区鴫野東,2022年制作,フォーム/電話/FAX/LINE,,https://www.fujii-koumuten.com/,サイトは比較的新しくメール非公開。優先度低,未
B,小宮ピアノ教室,ピアノ教室,大阪府大阪狭山市,独自ドメインあり（ongakuyorozuya.com）,LINE/フォーム,,https://ameblo.jp/k-piano-music/,すでに独自ドメインのサイトを持つためプレビューは刺さりにくい,未
B,美姿勢整体院SOW,整体院,埼玉県比企郡川島町（エリア外）,Jimdo無料サブドメイン,メール/電話,maru88958@gmail.com,https://salon-sow.jimdofree.com/,Jimdo無料＋メール公開の好条件だが大阪から遠い,未
