優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,ダストボウル楽器,記載なし,楽器店＋音楽教室6科目,伊勢崎・高崎・前橋の3店舗,Jimdo無料,フォーム・電話0270-21-1321,https://dustbowl-isesaki.jimdofree.com/,3店舗の法人規模で店舗サイトがJimdo無料,Colours Musical Studio様,未,hp,,
S,タジマダンスアカデミー,記載なし（主宰=ポールダンス日本3位）,ストリートダンス・ポール,伊勢崎市中町105-3,Jimdo無料,フォーム・LINE・電話090-5531-1197,https://tajimadance.jimdofree.com/,ダンス実績直撃×募集活発×近接圏,DANCE STUDIO PLUS様・Colours Musical Studio様,未,hp,,
S,草加ジュニア新体操クラブ（すぱえもん）,記載なし,新体操・バレエ・ダンス,草加市（複数会場）,Wix無料,supaemon@hotmail.co.jp・LINE/IG/FB,https://supaemon.wixsite.com/skrg/home,複数会場×クラス拡充中×SNS3媒体なのにWix無料,DANCE STUDIO PLUS様・Tulip Ballet Studio様,送信済み 2026-09-15,both,,Wix無料だがIG/FB/LINEを3媒体運用中＝集客意欲あり。作り直し欲が読めないので、デザイン案と診断の両方の入口を出す
A,拳生館（日本空手協会さいたま南支部）,廣澤様（支部長）,空手道場,西浦和・武蔵浦和・浦和（複数会場）,Wix無料,jka.saitamaminami@gmail.com,https://kenseikanhp.wixsite.com/jka-ksk,複数会場×募集意欲高×メール公開,―,送信済み 2026-09-15,hp,,Wix無料で募集意欲が高い。見た目の刷新が一番刺さる相手なのでデザイン案1本で
A,ウエルネス新体操クラブ,西野様（代表）,新体操,浦和・南浦和・川口地区,Jimdo無料,フォーム・電話070-6401-6169,https://wellness-rg.jimdofree.com/,複数地区×キッズ大募集中,Tulip Ballet Studio様,未,hp,,
A,Vifクラリネット教室,秋山誠志郎様（講師）,クラリネット教室,行田市野258-1,Wix無料,vifclarinet@gmail.com,https://vifclarinet.wixsite.com/vif-clarinet-studio,行田=看板圏内×メール公開,Colours Musical Studio様,送信済み 2026-09-15,hp,,個人教室・Wix無料。まずは負担の少ないデザイン案の提案が自然
A,メガ・ブルーバード熊谷校,記載なし（FC本部あり・要確認）,バレエ・英会話・インター,熊谷市ニットーモール4F,Wix無料,kumagaya.dance@gmail.com・電話048-501-7703,https://kumagayadance.wixsite.com/mbbkumagaya,熊谷=看板圏内×バレエ英会話実績両方使える（FC注意）,Tulip Ballet Studio様・Yuma English House様,送信済み 2026-09-15,both,,FC校で本部の方針によりサイト刷新が難しい可能性。作り直し前提にせず、診断の入口も添える
B,森のリス,小林ゆかり様（代表）,子ども体験型スクール,熊谷市肥塚1208-5,Wix無料,k_you_829@yahoo.co.jp・LINE,https://morinorisu2023.wixsite.com/morinorisu2013,熊谷=看板圏内×メール公開（予算小さめの可能性）,―,送信済み 2026-09-15,hp,,予算小さめの可能性。0円で実物が見られるデザイン案が入口として最適
B,能登珠算塾,能登孝子様（塾長）,そろばん教室,川口市芝6943-18,Jimdo無料,フォーム・電話048-265-9515,https://notosoroban.jimdofree.com/,1978年開塾の老舗×無料体験実施中,―,未,hp,,
B,クラブレジェンド熊谷,記載なし,ジュニアユースサッカー,熊谷市,Jimdo無料＋Wix,フォーム,https://legend2009.jimdofree.com/,熊谷=看板圏内×サイト2つ運用（競技クラブで需要読みにくい）,―,未,hp,,
要確認,深谷熊谷茶道花道教室,要確認,茶道・華道,深谷・熊谷,Wix無料,要確認,https://fukayakumagayachad.wixsite.com/website-1000,看板圏内,―,未,hp,,
要確認,ヨガ教室ポレポレ,要確認,ヨガ,川口市,Jimdo無料,要確認,https://poreporeyoga.jimdofree.com/,―,―,未,hp,,
見送り,Pilates Studio M,記載なし,ピラティス,さいたま市（武蔵浦和）,Wix無料,LINE・IGのみ,https://pilatesstudiom7576.wixsite.com/website,テキスト接触手段が弱い,―,見送り,hp,,
