事業者名,業種,エリア,サイト基盤,URL,接触状況
西青木あおい接骨院,接骨・整体,川口市西川口,Jimdo,https://nisiaokiaoisekkotuin2.jimdofree.com/,未
元気堂鍼灸整骨院,鍼灸整骨,熊谷市,Jimdo,https://genkido-kumagaya.jimdofree.com/,未
三郷整骨院,整骨・鍼灸,三郷市,Jimdo,https://misatogenkido.jimdofree.com/,未
村上はり灸院,鍼灸・マッサージ,さいたま市,Jimdo,https://murakami89in.jimdofree.com/,未
さつき整骨院,鍼灸・接骨,坂戸市（北坂戸）,Jimdo,https://satsuki1111.jimdofree.com/,未
ホリスティックケアメイ治療院,鍼灸・訪問治療,朝霞市,Jimdo,https://holistic-care-mei.jimdofree.com/,未
美姿勢整体院SOW,整体,比企郡川島町,Jimdo,https://salon-sow.jimdofree.com/,未
京之助カイロ整体院／さいたま整体スクール,整体・スクール,さいたま市浦和区,ペライチ,https://saitamaseitai-school.hp.peraichi.com/,未
にじいろ整骨院・整体院,整骨・パーソナルジム,川口市柳崎,ペライチ,https://peraichi.com/landing_pages/view/lipineniziiro/,未
整体Anima,整体（自律神経）,鶴ヶ島市・川越市,ペライチ,https://anima.hp.peraichi.com/seitai/,未
山憲工務店,工務店（木造住宅）,大里郡寄居町,Jimdo,https://yamaken-inc.jimdofree.com/,未
福島工務店,工務店（伝統技法）,埼玉県,Jimdo,https://shikkuinoie.jimdofree.com/,未
K.innovation,外壁塗装・大規模修繕,ふじみ野市,Jimdo,https://k-innovation.jimdofree.com/,未
カッパ水道,水道工事,さいたま市緑区,Jimdo,https://saitamashimizumoreshuuri.jimdofree.com/,未
さいたま水道修理,水道工事,さいたま市,Jimdo,https://oomiyatoiretumari.jimdofree.com/,未
ツーケン工業,リフォーム,川口市,Wix,https://2kenkougyou.wixsite.com/higasikawaguchi,未
平成建設,建設・リフォーム,志木市,Wix,https://heiseikennsetsu.wixsite.com/heiseicraft,未
株式会社エムズ,設計・施工・リフォーム,朝霞市,Wix,https://emuzu2011.wixsite.com/mysite,未
合同会社GLOWS,リフォーム・外構,川口市,Wix,https://glows2023.wixsite.com/glows,未
株式会社ギブ・コーポレーション,リフォーム,川口市,Wix,https://givecorporation7.wixsite.com/website,未
株式会社悠悠ホーム,リフォーム・リノベ,春日部市,Wix,https://haruharuhome8686.wixsite.com/my-site,未
吉田行政書士事務所,行政書士（相続・遺言）,坂戸市・鶴ヶ島市,Jimdo,https://y-masgpr.jimdofree.com/,未
司法書士大熊・宮事務所,司法書士,さいたま市浦和区,Jimdo,https://okumamiya.jimdofree.com/,未
えはら行政書士事務所,行政書士,白岡市,Jimdo,https://ehara-gyousei.jimdofree.com/,未
行政書士大槻法務事務所,行政書士（相続）,飯能市,Jimdo,https://office1212.jimdofree.com/,未
相続・遺言 行政書士事務所,行政書士（相続）,上尾市,Jimdo,https://ageosouzokugsj.jimdofree.com/,未
猪熊税理士事務所,税理士,埼玉県（要確認）,Jimdo,https://inokuma-taxoffice.jimdofree.com/,未
TKK FITNESS,パーソナルジム,鶴ヶ島市,Wix,https://tkkfitness20200601.wixsite.com/website,未
パーソナルジムWILL,パーソナルジム,川越市（本川越）,Wix,https://toshi7057.wixsite.com/personalgymwill,未
ALL GRANT,パーソナルジム,吉川市,Wix,https://allgrantpersonalgy.wixsite.com/all-grant,未
ビーストライクジム,格闘技・フィットネス,さいたま市大宮,Wix,https://oshikano0913.wixsite.com/b-strikegym,未
ピラティススタジオNARU,マシンピラティス,入間郡毛呂山町,Jimdo,https://pilatesnaru.jimdofree.com/,未
FITNESS STUDIO i,ジュニアフィジカル,吉川市,ペライチ,https://yoshikawasaitama.hp.peraichi.com/,未
ザスタジオ春日部,レンタルスタジオ・ヨガ,春日部市,Jimdo,https://thestudio1.jimdofree.com/,未
K・DOG,ペットホテル・トリミング,上尾市,Jimdo,https://kdoglovedog.jimdofree.com/,未
FANTASY TRIBE,ダンススクール,ふじみ野市,ペライチ,https://fantasy-tribe.hp.peraichi.com/,未
STUDIO PLUM,ダンススタジオ,さいたま市北区,ペライチ,https://nmqea.hp.peraichi.com/studio.plum/,未
KICKS DanceStudio,ダンススタジオ,埼玉県,ペライチ,https://kicksdancestudio.hp.peraichi.com/studio/,未
ヒップホップスタジオ（鴻巣・熊谷・東松山）,ダンススタジオ,鴻巣市・熊谷市・東松山市,ペライチ,https://uyxiq.hp.peraichi.com/,未
春日部AKIダンスアカデミー,ダンススクール,春日部市,Wix,https://alldanceschool.wixsite.com/mysite,未
Homey Dance Studio,ダンススタジオ,所沢市,Wix,https://jun106107.wixsite.com/website,未
Wing Flap,キッズチアダンス,草加市,Wix,https://wingflap.wixsite.com/wingflap,未
マヤバレエスタジオ,バレエ,北本市,Wix,https://cullife.wixsite.com/mayaballet,未
B.H.art-ballet,バレエ,川越市,Wix,https://bhartballet.wixsite.com/bhartballet,未
スタジオプリエ,レンタルスタジオ,さいたま市浦和,アメブロ,https://ameblo.jp/studioplie-s/,未
ソフトテニススクールMERCI,ソフトテニス,さいたま市大宮,ペライチ,https://sgjla.hp.peraichi.com/merci.oomiya/,未
スフレ体操教室,体操,埼玉県,ペライチ,https://sfle.hp.peraichi.com/,未
SHUTTLE KIDS,バドミントン,久喜市・春日部市ほか,ペライチ,https://shuttlekids.hp.peraichi.com/saitama/,未
ウエルネスふじしろアフタースクール,体操・スイミング,埼玉県,ペライチ,https://794t7.hp.peraichi.com/,未
吉川市・三郷市キッズダンス教室,キッズダンス,吉川市・三郷市,ペライチ,https://yoshikawa-misato-kidsdance.hp.peraichi.com/,未
かわせみスポーツ教室,スポーツ（幼児〜小学生）,埼玉県,ペライチ,https://s3vw4.hp.peraichi.com/,未
エール進学,学習塾,上尾市,Jimdo,https://yellshingaku.jimdofree.com/,未
能登珠算塾,そろばん,川口市,Jimdo,https://notosoroban.jimdofree.com/,未
アルク Kiddy CAT 西堀フレンズ,子ども英語,さいたま市桜区,Jimdo,https://kiddycatnishibori.jimdofree.com/,未
フェニックスパソコンスクール 大宮教室,パソコン,さいたま市大宮,ペライチ,https://peraichi.com/landing_pages/view/phoenix-omiya/,未
Crossmusic ヴォーカルスクール,ボーカル・英語歌唱,富士見市（鶴瀬）,ペライチ,https://crossmusicvocalschool.hp.peraichi.com/,未
シラキミュージックスクール,ギター・ボーカル,蕨市,Wix,https://shirakims.wixsite.com/warabi,未
音楽教室（上尾）,音楽,上尾市,Wix,https://kamomejonathan.wixsite.com/musicschool,未
Nailsalon Fuu,ネイル・巻き爪,さいたま市南浦和,Wix,https://nailsalonfuu.wixsite.com/nail-salon-fuu,未
Attract,まつげエクステ,さいたま市中央区（与野）,Wix,https://attract-yono.wixsite.com/attract,未
プライベートエステサロン R,エステ,所沢市,Jimdo,https://privatesalon-r.jimdofree.com/,未
訪問美容nanairo,訪問美容,埼玉県,Jimdo,https://nanairo0321w.jimdofree.com/,未
あらかわ音楽教室,ピアノ・バイオリン・リトミック,さいたま市見沼区・緑区,Jimdo,https://arakawa-music-school.jimdofree.com/,未
海沼音楽教室,ピアノ（0歳〜）,川越市,Jimdo,https://kainumamusic-school.jimdofree.com/,未
上條ピアノ教室,ピアノ・リトミック,さいたま市,Jimdo,https://andante-piano-kamijo.jimdofree.com/,未
ひろさき音楽教室,ピアノ・エレクトーン,さいたま市南区,Jimdo,https://mfmusicroom.jimdofree.com/,未
ともだピアノ教室,ピアノ,さいたま市（宮原）,Jimdo,https://tomoda-piano.jimdofree.com/,未
水谷音楽教室,ピアノ,さいたま市大宮区,Jimdo,https://mzmusicmihashi.jimdofree.com/,未
ピアノ教室 フルールpianoforte,ピアノ,さいたま市中央区,Jimdo,https://fleur-pianoforte.jimdofree.com/,未
栩野音楽教室,歌・ピアノ,川口市安行,Jimdo,https://pianoonngakudou.jimdofree.com/,未
牧田ピアノ教室,ピアノ,さいたま市北区,Jimdo,https://saitamashipiano0926.jimdofree.com/,未
はるか音楽教室,ピアノ,さいたま市緑区,Jimdo,https://haruka-pf.jimdofree.com/,未
やまざきピアノ教室,ピアノ,さいたま市,Wix,https://yamazakipiano.wixsite.com/music,未
武井バイオリン教室,バイオリン,さいたま市（大宮・新都心）,アメブロ,https://ameblo.jp/violin-slmw/,未
やまさきピアノスクール,ピアノ,さいたま市見沼区,アメブロ,https://ameblo.jp/yamasakipiano/,未
長浜ピアノ教室,ピアノ,加須市,アメブロ,https://ameblo.jp/nagahamapiano/,未
ごとう絵画教室,絵画・造形,狭山市,Wix,https://gotoukaiga.wixsite.com/home,未
ささき絵画教室,絵画,坂戸市,Wix,https://sasakiartschool.wixsite.com/sasaki-artschool,未
ラピュータアートラボ,絵画,川口市,Wix,https://lapyuta9.wixsite.com/index,未
あんぎょうやき,陶芸,川口市（安行）,Wix,https://tinnpann999.wixsite.com/anngyouyaki,未
KAYOKOPHOTO STUDIO,カメラ教室,川越市,Jimdo,https://kayokophoto.jimdofree.com/,未
メドウフルール,カルトナージュ,さいたま市（東大宮・七里）,アメブロ,https://ameblo.jp/yukitokonoki/,未
Salon de GIGI,ポーセラーツ,さいたま市浦和区・与野,アメブロ,https://ameblo.jp/lilgigi/,未
クレイフラワー教室 yu-hana,クレイフラワー,さいたま市,アメブロ,https://ameblo.jp/yu-hana7/,未
離乳食教室 山田まりえ,離乳食,さいたま市浦和区・川口市,アメブロ,https://ameblo.jp/marie-eiyo/,未
M’cuore（エムクオーレ）,ポーセラーツ,越谷市,Jimdo,https://mcuore.jimdofree.com/,未
手作りパンとお菓子の教室 おひさま,パン・お菓子,川越市,ペライチ,https://ohisama.hp.peraichi.com/,未
sweets myu,シフォンケーキ,埼玉県,ペライチ,https://sweetsmyupro.hp.peraichi.com/,未
ヨガ教室ポレポレ,ヨガ,川口市,Jimdo,https://poreporeyoga.jimdofree.com/,未
ピラティスボディスタジオA2,ピラティス,さいたま市,Jimdo,https://sanapila.jimdofree.com/,未
cocohappilien,ヨガ・ピラティス,川越市（霞ヶ関）,Jimdo,https://cocohappilien-anri.jimdofree.com/,未
